evaluation_id,prompt,model_response,evaluator_reasoning,relevance,clarity,factual_accuracy,instruction_following,overall_label,issue_type
1,How do I reset my password?,"Use the password reset option on the sign-in page, enter your email, and follow the instructions sent to you.","Clear steps, directly answers the question.",High,High,High,Yes,Pass,No issue
2,Summarize: The company reduced costs by 12% while revenue increased 8%.,Revenue increased by 8% while costs fell by 12%.,Accurate and concise.,High,High,High,Yes,Pass,No issue
3,Give three benefits of SQL.,"SQL can be used to query data, filter records, and aggregate information.",Provides exactly three relevant benefits.,High,High,High,Yes,Pass,No issue
4,What is the capital of Australia?,The capital of Australia is Sydney.,Factually incorrect; Canberra is the capital.,High,High,Low,Yes,Fail,Factual error
5,Rewrite this professionally: 'send me the report asap',Please send me the report as soon as possible.,Preserves intent and improves tone.,High,High,High,Yes,Pass,No issue
6,List two fruits. Do not explain.,Apple and banana.,Follows the requested format without extra explanation.,High,High,High,Yes,Pass,No issue
7,Explain photosynthesis in one sentence.,Photosynthesis is the process by which plants use light energy to convert carbon dioxide and water into glucose and oxygen.,Accurate one-sentence explanation.,High,High,High,Yes,Pass,No issue
8,What is 15% of 200?,15% of 200 is 25.,Calculation is incorrect; correct answer is 30.,High,High,Low,Yes,Fail,Calculation error
9,"Classify this text as positive, neutral, or negative: 'The service was acceptable.'",Positive,The wording is neutral rather than positive.,High,High,Low,Yes,Fail,Classification error
10,Give a short definition of data annotation.,Data annotation is the process of labeling data so it can be used to train or evaluate machine-learning systems.,Relevant and concise.,High,High,High,Yes,Pass,No issue
11,Based only on the source: 'The store opened in 2018.' When did it open?,The store opened in 2018.,Uses the supplied source correctly.,High,High,High,Yes,Pass,No issue
12,Based only on the source: 'The store opened in 2018.' Who founded it?,It was founded by John Smith.,The source does not provide a founder; unsupported claim.,High,High,Low,Yes,Fail,Unsupported claim
